HD Pro Webcam C920,HD Webcam C615,Webcam C170,UVC Camera,Microsoft LifeCam HD-3000
640 x 480 YUY 2 24.00 fps,1920 x 1080 YUY 2 5.00 fps,640 x 480 YUY 2 15.00 fps,640 x 480 YUY 2 30.00 fps,1280 x 720 JPEG 30.00 fps
640 x 480 YUY 2 15.00 fps,0.5 % failed,352 x 288 YUY 2 30.00 fps,640 x 480 YUY 2 15.00 fps,1.0 % failed
640 x 480 YUY 2 10.00 fps,,544 x 288 YUY 2 30.00 fps,544 x 288 YUY 2 30.00 fps,
160 x 90 YUY 2 30.00 fps,,544 x 288 YUY 2 15.00 fps,544 x 288 YUY 2 25.00 fps,
160 x 90 YUY 2 24.00 fps,,432 x 240 YUY 2 30.00 fps,640 x 360 YUY 2 30.00 fps,
160 x 90 YUY 2 20.00 fps,,640 x 360 YUY 2 30.00 fps,640 x 360 YUY 2 25.00 fps,
160 x 90 YUY 2 15.00 fps,,640 x 360 YUY 2 15.00 fps,640 x 360 YUY 2 20.00 fps,
160 x 90 YUY 2 10.00 fps,,17.5 % failed,752 x 416 YUY 2 25.00 fps,
160 x 90 YUY 2 7.50 fps,,,752 x 416 YUY 2 20.00 fps,
160 x 90 YUY 2 5.00 fps,,,752 x 416 YUY 2 15.00 fps,
160 x 120 YUY 2 30.00 fps,,,800 x 448 YUY 2 20.00 fps,
160 x 120 YUY 2 24.00 fps,,,800 x 448 YUY 2 15.00 fps,
160 x 120 YUY 2 20.00 fps,,,864 x 480 YUY 2 20.00 fps,
160 x 120 YUY 2 15.00 fps,,,864 x 480 YUY 2 15.00 fps,
160 x 120 YUY 2 10.00 fps,,,864 x 480 YUY 2 10.00 fps,
160 x 120 YUY 2 7.50 fps,,,960 x 544 YUY 2 15.00 fps,
160 x 120 YUY 2 5.00 fps,,,960 x 544 YUY 2 10.00 fps,
176 x 144 YUY 2 24.00 fps,,,1024 x 576 YUY 2 10.00 fps,
176 x 144 YUY 2 20.00 fps,,,1184 x 656 YUY 2 10.00 fps,
176 x 144 YUY 2 15.00 fps,,,1184 x 656 YUY 2 5.00 fps,
176 x 144 YUY 2 10.00 fps,,,1280 x 720 YUY 2 7.50 fps,
176 x 144 YUY 2 7.50 fps,,,1280 x 720 YUY 2 5.00 fps,
176 x 144 YUY 2 5.00 fps,,,11.1 % failed,
320 x 180 YUY 2 10.00 fps,,,,
320 x 180 YUY 2 7.50 fps,,,,
320 x 180 YUY 2 5.00 fps,,,,
320 x 240 YUY 2 30.00 fps,,,,
320 x 240 YUY 2 7.50 fps,,,,
320 x 240 YUY 2 5.00 fps,,,,
352 x 288 YUY 2 30.00 fps,,,,
352 x 288 YUY 2 24.00 fps,,,,
352 x 288 YUY 2 5.00 fps,,,,
432 x 240 YUY 2 30.00 fps,,,,
432 x 240 YUY 2 24.00 fps,,,,
432 x 240 YUY 2 5.00 fps,,,,
640 x 360 YUY 2 20.00 fps,,,,
640 x 360 YUY 2 15.00 fps,,,,
640 x 360 YUY 2 10.00 fps,,,,
640 x 360 YUY 2 7.50 fps,,,,
640 x 360 YUY 2 5.00 fps,,,,
800 x 448 YUY 2 30.00 fps,,,,
800 x 448 YUY 2 24.00 fps,,,,
800 x 448 YUY 2 20.00 fps,,,,
800 x 448 YUY 2 15.00 fps,,,,
800 x 448 YUY 2 10.00 fps,,,,
800 x 448 YUY 2 7.50 fps,,,,
800 x 448 YUY 2 5.00 fps,,,,
800 x 600 YUY 2 24.00 fps,,,,
800 x 600 YUY 2 20.00 fps,,,,
800 x 600 YUY 2 15.00 fps,,,,
800 x 600 YUY 2 10.00 fps,,,,
800 x 600 YUY 2 7.50 fps,,,,
800 x 600 YUY 2 5.00 fps,,,,
864 x 480 YUY 2 24.00 fps,,,,
864 x 480 YUY 2 20.00 fps,,,,
864 x 480 YUY 2 15.00 fps,,,,
864 x 480 YUY 2 10.00 fps,,,,
864 x 480 YUY 2 7.50 fps,,,,
864 x 480 YUY 2 5.00 fps,,,,
960 x 720 YUY 2 15.00 fps,,,,
960 x 720 YUY 2 10.00 fps,,,,
960 x 720 YUY 2 7.50 fps,,,,
960 x 720 YUY 2 5.00 fps,,,,
1024 x 576 YUY 2 15.00 fps,,,,
1024 x 576 YUY 2 10.00 fps,,,,
1024 x 576 YUY 2 7.50 fps,,,,
1024 x 576 YUY 2 5.00 fps,,,,
1280 x 720 YUY 2 10.00 fps,,,,
1280 x 720 YUY 2 7.50 fps,,,,
1280 x 720 YUY 2 5.00 fps,,,,
1600 x 896 YUY 2 7.50 fps,,,,
1600 x 896 YUY 2 5.00 fps,,,,
1920 x 1080 YUY 2 5.00 fps,,,,
2304 x 1296 YUY 2 2.00 fps,,,,
2304 x 1536 YUY 2 2.00 fps,,,,
640 x 480 JPEG 30.00 fps,,,,
640 x 480 JPEG 24.00 fps,,,,
640 x 480 JPEG 20.00 fps,,,,
640 x 480 JPEG 15.00 fps,,,,
640 x 480 JPEG 10.00 fps,,,,
640 x 480 JPEG 7.50 fps,,,,
640 x 480 JPEG 5.00 fps,,,,
160 x 90 JPEG 30.00 fps,,,,
160 x 90 JPEG 24.00 fps,,,,
160 x 90 JPEG 20.00 fps,,,,
160 x 90 JPEG 15.00 fps,,,,
160 x 90 JPEG 10.00 fps,,,,
160 x 90 JPEG 7.50 fps,,,,
160 x 90 JPEG 5.00 fps,,,,
160 x 120 JPEG 30.00 fps,,,,
160 x 120 JPEG 24.00 fps,,,,
160 x 120 JPEG 20.00 fps,,,,
160 x 120 JPEG 15.00 fps,,,,
160 x 120 JPEG 10.00 fps,,,,
160 x 120 JPEG 7.50 fps,,,,
160 x 120 JPEG 5.00 fps,,,,
176 x 144 JPEG 30.00 fps,,,,
176 x 144 JPEG 24.00 fps,,,,
176 x 144 JPEG 20.00 fps,,,,
176 x 144 JPEG 15.00 fps,,,,
176 x 144 JPEG 10.00 fps,,,,
176 x 144 JPEG 7.50 fps,,,,
176 x 144 JPEG 5.00 fps,,,,
320 x 180 JPEG 30.00 fps,,,,
320 x 180 JPEG 24.00 fps,,,,
320 x 180 JPEG 20.00 fps,,,,
320 x 180 JPEG 15.00 fps,,,,
320 x 180 JPEG 10.00 fps,,,,
320 x 180 JPEG 7.50 fps,,,,
320 x 180 JPEG 5.00 fps,,,,
320 x 240 JPEG 30.00 fps,,,,
320 x 240 JPEG 24.00 fps,,,,
320 x 240 JPEG 20.00 fps,,,,
320 x 240 JPEG 15.00 fps,,,,
320 x 240 JPEG 10.00 fps,,,,
320 x 240 JPEG 7.50 fps,,,,
320 x 240 JPEG 5.00 fps,,,,
352 x 288 JPEG 30.00 fps,,,,
352 x 288 JPEG 24.00 fps,,,,
352 x 288 JPEG 20.00 fps,,,,
352 x 288 JPEG 15.00 fps,,,,
352 x 288 JPEG 10.00 fps,,,,
352 x 288 JPEG 7.50 fps,,,,
352 x 288 JPEG 5.00 fps,,,,
432 x 240 JPEG 30.00 fps,,,,
432 x 240 JPEG 24.00 fps,,,,
432 x 240 JPEG 20.00 fps,,,,
432 x 240 JPEG 15.00 fps,,,,
432 x 240 JPEG 10.00 fps,,,,
432 x 240 JPEG 7.50 fps,,,,
432 x 240 JPEG 5.00 fps,,,,
640 x 360 JPEG 30.00 fps,,,,
640 x 360 JPEG 24.00 fps,,,,
640 x 360 JPEG 20.00 fps,,,,
640 x 360 JPEG 15.00 fps,,,,
640 x 360 JPEG 10.00 fps,,,,
640 x 360 JPEG 7.50 fps,,,,
640 x 360 JPEG 5.00 fps,,,,
800 x 448 JPEG 30.00 fps,,,,
800 x 448 JPEG 24.00 fps,,,,
800 x 448 JPEG 20.00 fps,,,,
800 x 448 JPEG 15.00 fps,,,,
800 x 448 JPEG 10.00 fps,,,,
800 x 448 JPEG 7.50 fps,,,,
800 x 448 JPEG 5.00 fps,,,,
800 x 600 JPEG 30.00 fps,,,,
800 x 600 JPEG 24.00 fps,,,,
800 x 600 JPEG 20.00 fps,,,,
800 x 600 JPEG 15.00 fps,,,,
800 x 600 JPEG 10.00 fps,,,,
800 x 600 JPEG 7.50 fps,,,,
800 x 600 JPEG 5.00 fps,,,,
864 x 480 JPEG 30.00 fps,,,,
864 x 480 JPEG 24.00 fps,,,,
864 x 480 JPEG 20.00 fps,,,,
864 x 480 JPEG 15.00 fps,,,,
864 x 480 JPEG 10.00 fps,,,,
864 x 480 JPEG 7.50 fps,,,,
864 x 480 JPEG 5.00 fps,,,,
960 x 720 JPEG 30.00 fps,,,,
960 x 720 JPEG 24.00 fps,,,,
960 x 720 JPEG 20.00 fps,,,,
960 x 720 JPEG 15.00 fps,,,,
960 x 720 JPEG 10.00 fps,,,,
960 x 720 JPEG 7.50 fps,,,,
960 x 720 JPEG 5.00 fps,,,,
1024 x 576 JPEG 30.00 fps,,,,
1024 x 576 JPEG 24.00 fps,,,,
1024 x 576 JPEG 20.00 fps,,,,
1024 x 576 JPEG 15.00 fps,,,,
1024 x 576 JPEG 10.00 fps,,,,
1024 x 576 JPEG 7.50 fps,,,,
1024 x 576 JPEG 5.00 fps,,,,
1280 x 720 JPEG 30.00 fps,,,,
1280 x 720 JPEG 24.00 fps,,,,
1280 x 720 JPEG 20.00 fps,,,,
1280 x 720 JPEG 15.00 fps,,,,
1280 x 720 JPEG 10.00 fps,,,,
1280 x 720 JPEG 7.50 fps,,,,
1280 x 720 JPEG 5.00 fps,,,,
1600 x 896 JPEG 30.00 fps,,,,
1600 x 896 JPEG 24.00 fps,,,,
1600 x 896 JPEG 20.00 fps,,,,
1600 x 896 JPEG 15.00 fps,,,,
1600 x 896 JPEG 10.00 fps,,,,
1600 x 896 JPEG 7.50 fps,,,,
1600 x 896 JPEG 5.00 fps,,,,
1920 x 1080 JPEG 30.00 fps,,,,
1920 x 1080 JPEG 24.00 fps,,,,
1920 x 1080 JPEG 20.00 fps,,,,
1920 x 1080 JPEG 15.00 fps,,,,
1920 x 1080 JPEG 10.00 fps,,,,
1920 x 1080 JPEG 7.50 fps,,,,
1920 x 1080 JPEG 5.00 fps,,,,
89.4 % failed,,,,
